round,labels_used,surrogate_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target
0,2000,0.987,0.7896824271749849,0.9886277482941622,0.9982138300586885,0.9933976637887253,0.987
1,4000,0.98825,0.7365289079161665,0.9893832153690597,0.9987241643276346,0.994031746031746,0.98825
2,6000,0.9875,0.834180740236707,0.9906162820187674,0.99668282725185,0.9936402950903078,0.9875
3,8000,0.985,0.871312283619845,0.9898451383599899,0.9948966573105384,0.9923644693306185,0.985
4,10000,0.98925,0.9413131341769599,0.9893939393939394,0.999744832865527,0.9945424546262216,0.98925
5,12000,0.98875,0.9413777135134624,0.9906281661600811,0.9979586629242153,0.994279903393924,0.98875
