round,labels_used,queries_used,optimal_threshold,surrogate_acc,surrogate_acc_vs_oracle,surrogate_balanced_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target,oracle_acc_vs_gt
0,2000,-1000,0.5700000000000001,0.7245,0.998,0.735656029667308,0.7964504424130654,0.603492552645095,0.7807308970099668,0.6807647740440325,0.998,0.62375
1,3250,250,0.9,0.73425,0.98975,0.7439989613779053,0.8376242185367413,0.6153444676409185,0.7833887043189369,0.6892721426483485,0.98975,0.62375
2,4500,1500,0.9,0.7285,0.9935,0.7388624424929593,0.8135151365854633,0.6084930088037286,0.7807308970099668,0.6839348079161816,0.9935,0.62375
3,5750,2750,0.11,0.72675,0.99725,0.7391733633379716,0.8568476487859439,0.604887983706721,0.7893687707641196,0.6849236091092534,0.99725,0.62375
4,7000,4000,0.41000000000000003,0.72625,0.99725,0.7386407366227472,0.8129325761156865,0.6043788187372708,0.7887043189368771,0.6843470740847506,0.99725,0.62375
