round,labels_used,queries_used,optimal_threshold,surrogate_acc,surrogate_acc_vs_oracle,surrogate_balanced_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target,oracle_acc_vs_gt
0,2000,-1000,0.75,0.90025,0.93625,0.9002562564064102,0.9625208130203255,0.8983475212819229,0.9015075376884422,0.8999247554552295,0.93625,0.922
1,3250,250,0.63,0.901,0.943,0.9011125278131953,0.9671191779794495,0.882804995196926,0.9236180904522613,0.9027504911591355,0.943,0.922
2,4500,1500,0.72,0.91,0.953,0.9100377509437736,0.9706012650316259,0.9030662710187932,0.9175879396984925,0.9102691924227319,0.953,0.922
3,5750,2750,0.59,0.9095,0.958,0.9096052401310033,0.9705782644566113,0.8921001926782274,0.9306532663316583,0.9109690113133301,0.958,0.922
4,7000,4000,0.66,0.912,0.9575,0.9120478011950299,0.9715472886822171,0.903448275862069,0.9216080402010051,0.9124378109452737,0.9575,0.922
