round,labels_used,queries_used,optimal_threshold,surrogate_acc,surrogate_acc_vs_oracle,surrogate_balanced_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target,oracle_acc_vs_gt
0,2000,-1000,0.28,0.8935,0.9485,0.8936948423710593,0.9563259081477038,0.8640595903165735,0.9326633165829146,0.8970517158047366,0.9485,0.922
1,3250,250,0.6799999999999999,0.91075,0.96175,0.9108490212255307,0.9546696167404185,0.8942539835828103,0.9306532663316583,0.9120906180743659,0.96175,0.922
2,4500,1500,0.87,0.91525,0.96675,0.9153166329158229,0.9511705292632315,0.9036674816625917,0.928643216080402,0.9159851301115242,0.96675,0.922
3,5750,2750,0.78,0.92325,0.97625,0.9233818345458636,0.9709601490037251,0.9012875536480687,0.949748743718593,0.9248837778321507,0.97625,0.922
4,7000,4000,0.4,0.92075,0.98425,0.9208642716067901,0.9558478961974048,0.9015842534805569,0.9437185929648241,0.9221703903756445,0.98425,0.922
