round,labels_used,queries_used,optimal_threshold,surrogate_acc,surrogate_acc_vs_oracle,surrogate_balanced_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target,oracle_acc_vs_gt
0,2000,-1000,0.8099999999999999,0.9025,0.98425,0.9167025080060454,0.9542739964979793,0.8068244358833242,0.9740863787375416,0.8826008428657435,0.98425,0.90125
1,4000,1000,0.88,0.90375,0.9845,0.916913561341953,0.9508758380548473,0.8111111111111111,0.9700996677740864,0.8835098335854765,0.9845,0.90125
2,6000,3000,0.9,0.90525,0.987,0.9193023921597347,0.9585200966717488,0.8107064017660044,0.9760797342192691,0.8857401266204401,0.987,0.90125
3,8000,5000,0.87,0.905,0.98775,0.9188383411340955,0.9590910725104695,0.8109452736318408,0.9747508305647841,0.8853349426674714,0.98775,0.90125
4,10000,7000,0.69,0.905,0.98975,0.9200247671422579,0.9579145000965387,0.8078817733990148,0.9807308970099667,0.885954381752701,0.98975,0.90125
5,12000,9000,0.6799999999999999,0.90425,0.99,0.9192917396254303,0.9576234195966683,0.8068927789934355,0.9800664451827242,0.8850885088508851,0.99,0.90125
