round,labels_used,queries_used,optimal_threshold,surrogate_acc,surrogate_acc_vs_oracle,surrogate_balanced_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target,oracle_acc_vs_gt
0,2000,-1000,0.13,0.70725,0.93075,0.7070714267856697,0.7646168654216355,0.7209929843497032,0.671356783919598,0.6952901379130887,0.93075,0.712
1,4000,1000,0.11,0.72775,0.94575,0.7274994374859372,0.7855098877471937,0.750974930362117,0.6773869346733669,0.7122853368560106,0.94575,0.712
2,6000,3000,0.1,0.723,0.9695,0.7228355708892722,0.7855387634690867,0.7365879828326181,0.6899497487437186,0.7125064867669954,0.9695,0.712
3,8000,5000,0.11,0.7115,0.98,0.7112677816945423,0.797892947323683,0.7309392265193371,0.6648241206030151,0.6963157894736842,0.98,0.712
4,10000,7000,0.1,0.71425,0.99225,0.7139815995399885,0.8144522363059076,0.7377877596855699,0.6603015075376885,0.6968973747016707,0.99225,0.712
5,12000,9000,0.12000000000000001,0.71475,0.99375,0.7144691117277931,0.8161467786694667,0.7396950875211745,0.6582914572864321,0.6966232385003989,0.99375,0.712
