round,labels_used,queries_used,optimal_threshold,surrogate_acc,surrogate_acc_vs_oracle,surrogate_balanced_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target,oracle_acc_vs_gt
0,2000,-1000,0.14,0.56775,0.9005,0.5683804595114879,0.6133173329333234,0.5521374350779065,0.6944723618090453,0.6151791675940351,0.9005,0.55775
1,3250,250,0.1,0.56125,0.9135,0.5618552963824095,0.5129083227080677,0.5473217881594845,0.6829145728643216,0.607645875251509,0.9135,0.55775
2,4500,1500,0.1,0.5685,0.95775,0.5691292282307058,0.5165851646291157,0.552757793764988,0.6949748743718593,0.6157613535173642,0.95775,0.55775
3,5750,2750,0.1,0.5705,0.94525,0.5712342808570214,0.5239513487837196,0.5525908739365816,0.7180904522613065,0.6245629370629371,0.94525,0.55775
4,7000,4000,0.1,0.5585,0.96475,0.5590489762244056,0.5946122403060077,0.5459392945036915,0.6688442211055277,0.6011743450767841,0.96475,0.55775
