round,labels_used,queries_used,optimal_threshold,surrogate_acc,surrogate_acc_vs_oracle,surrogate_balanced_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target,oracle_acc_vs_gt
0,2000,-1000,0.1,0.43275,0.898,0.4323145578639466,0.380830395759894,0.41560798548094374,0.34522613065326635,0.37716167993412025,0.898,0.42075
1,4000,1000,0.2,0.425,0.97575,0.42426060651516284,0.3600900022500563,0.3900709219858156,0.27638190954773867,0.3235294117647059,0.97575,0.42075
2,6000,3000,0.26,0.42325,0.9805,0.42250681267031676,0.34492162304057605,0.38734896943852165,0.27386934673366836,0.32087135707977626,0.9805,0.42075
3,8000,5000,0.1,0.41775,0.988,0.41704667616690416,0.3602982574564364,0.3822098679638638,0.27638190954773867,0.32079323417906097,0.988,0.42075
4,10000,7000,0.1,0.419,0.98925,0.41830045751143774,0.36634103352583813,0.3841886269070735,0.27839195979899495,0.32284382284382285,0.98925,0.42075
5,12000,9000,0.18,0.41925,0.9915,0.4185342133553339,0.34262781569539236,0.3834849545136459,0.27537688442211056,0.32056156770985667,0.9915,0.42075
