round,labels_used,queries_used,optimal_threshold,surrogate_acc,surrogate_acc_vs_oracle,surrogate_balanced_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target,oracle_acc_vs_gt
0,2000,-1000,0.6,0.9,0.99825,0.9156212757741397,0.9311151206066619,0.8001086366105378,0.9787375415282392,0.8804542737597131,0.99825,0.90125
1,3250,250,0.61,0.901,0.99725,0.9160274036444983,0.9494233650024303,0.8028399781540142,0.9767441860465116,0.8812949640287769,0.99725,0.90125
2,4500,1500,0.45000000000000007,0.9,0.99775,0.9156212757741397,0.9513241765923873,0.8001086366105378,0.9787375415282392,0.8804542737597131,0.99775,0.90125
3,5750,2750,0.2,0.90075,0.9995,0.9163543032909673,0.949093802222385,0.8010869565217391,0.9794019933554817,0.8813153961136024,0.9995,0.90125
4,7000,4000,0.48,0.9005,0.99925,0.915890252265328,0.9392563199488678,0.8013064779531845,0.9780730897009967,0.8809096349491322,0.99925,0.90125
