round,labels_used,surrogate_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target
0,2000,0.84175,0.8776172513148021,0.8237885462555066,0.7876052948255114,0.8052906797908336,0.84175
1,3000,0.82425,0.8788050510634224,0.8006269592476489,0.7683513838748496,0.7841571998771876,0.82425
2,4000,0.8485,0.8999512578762021,0.8006833712984055,0.8459687123947052,0.8227033352837917,0.8485
3,5000,0.8615,0.9128330497334367,0.8475533249686323,0.8128760529482552,0.8298525798525799,0.8615
