round,labels_used,surrogate_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target
0,2000,0.9855,0.7990684824485964,0.9893536121673003,0.9959173258484307,0.9926246185147508,0.9855
1,3000,0.987,0.8201985263310432,0.987887963663891,0.9989793314621077,0.9934026896726719,0.987
2,4000,0.98925,0.9131203160292214,0.9908814589665653,0.9982138300586885,0.9945341299097495,0.98925
3,5000,0.988,0.9931734915999609,0.9888860823440263,0.9989793314621077,0.993907083015994,0.988
4,6000,0.98925,0.9834519387976902,0.9903846153846154,0.9987241643276346,0.9945369076356244,0.98925
5,7000,0.98975,0.9903902797072823,0.9911347517730497,0.9984689971931615,0.9947883564255752,0.98975
