round,labels_used,queries_used,optimal_threshold,surrogate_acc,surrogate_acc_vs_oracle,surrogate_balanced_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target,oracle_acc_vs_gt
0,2000,-1000,0.9,0.66925,0.995,0.699936084794173,0.8269024427592727,0.5395996518711923,0.8239202657807309,0.6521167499342624,0.995,0.62375
1,3250,250,0.1,0.66875,0.9975,0.700194408751057,0.8338966304702429,0.538961038961039,0.8272425249169435,0.6526867627785059,0.9975,0.62375
2,4500,1500,0.1,0.6685,0.99725,0.6997303577254177,0.8176599045266614,0.5387949718248808,0.8259136212624585,0.6521511017838405,0.99725,0.62375
3,5750,2750,0.1,0.66925,0.998,0.7007270354662813,0.8218430215913554,0.5393939393939394,0.827906976744186,0.653211009174312,0.998,0.62375
4,7000,4000,0.1,0.66925,0.998,0.7007270354662813,0.827465429197265,0.5393939393939394,0.827906976744186,0.653211009174312,0.998,0.62375
