round,labels_used,queries_used,optimal_threshold,surrogate_acc,surrogate_acc_vs_oracle,surrogate_balanced_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target,oracle_acc_vs_gt
0,2000,-1000,0.11,0.52025,0.95575,0.5222868071701793,0.37924735618390465,0.5097823091760816,0.9296482412060302,0.6584801566114967,0.95575,0.534
1,4145,1145,0.6,0.541,0.972,0.5429385734643366,0.624603240081002,0.5216901408450704,0.9306532663316583,0.6685920577617328,0.972,0.534
2,6279,3279,0.61,0.53725,0.98975,0.5391272281807045,0.5311507787694693,0.5198514710082833,0.914572864321608,0.6629029320706611,0.98975,0.534
3,8361,5361,0.16,0.53575,0.98975,0.5376546913672842,0.43758256456411415,0.5188759579903491,0.9185929648241206,0.6631598040994015,0.98975,0.534
4,10460,7460,0.11,0.53275,0.99175,0.534649616240406,0.5942274806870171,0.5171923842000569,0.914572864321608,0.6607369758576874,0.99175,0.534
5,12000,9000,0.11,0.536,0.991,0.5378884472111802,0.5453308832720818,0.5190883190883191,0.9155778894472362,0.6625454545454545,0.991,0.534
