round,labels_used,queries_used,optimal_threshold,surrogate_acc,surrogate_acc_vs_oracle,surrogate_balanced_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target,oracle_acc_vs_gt
0,2000,-1000,0.1,0.49775,0.99975,0.5002487562189055,0.44566501662541563,0.49762440610152536,1.0,0.6645516780764735,0.99975,0.4975
1,3250,250,0.64,0.498,0.9995,0.5004975124378109,0.5037585939648491,0.4977488744372186,1.0,0.6646626586506346,0.9995,0.4975
2,4500,1500,0.1,0.4975,1.0,0.5,0.6980382009550239,0.4975,1.0,0.664440734557596,1.0,0.4975
3,5750,2750,0.1,0.4975,1.0,0.5,0.48732968324208104,0.4975,1.0,0.664440734557596,1.0,0.4975
4,7000,4000,0.1,0.4975,1.0,0.5,0.5726896922423059,0.4975,1.0,0.664440734557596,1.0,0.4975
