round,labels_used,queries_used,optimal_threshold,surrogate_acc,surrogate_acc_vs_oracle,surrogate_balanced_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target,oracle_acc_vs_gt
0,2000,-1000,0.69,0.6945,0.99725,0.7238676688926025,0.8206595250301266,0.5628051486906347,0.8425249169435216,0.6748270356572645,0.99725,0.62375
1,4000,1000,0.9,0.716,0.97125,0.7396520615982796,0.8538842468991138,0.586013986013986,0.8352159468438538,0.6887671232876712,0.97125,0.62375
2,6000,3000,0.88,0.695,0.99725,0.7241366453837909,0.8637546188722961,0.5633614939973322,0.8418604651162791,0.6750133191262653,0.99725,0.62375
3,8000,5000,0.88,0.69675,0.9955,0.7260667514430854,0.8647873820731163,0.5648888888888889,0.8445182724252491,0.6769640479360852,0.9955,0.62375
4,10000,7000,0.8099999999999999,0.6955,0.99675,0.7246692720990153,0.8330573439237278,0.5638061360604714,0.8425249169435216,0.675546084176878,0.99675,0.62375
5,12000,9000,0.38,0.69475,0.999,0.7245953701422779,0.8467441194681722,0.5628318584070796,0.8451827242524917,0.6756972111553785,0.999,0.62375
