round,labels_used,queries_used,optimal_threshold,surrogate_acc,surrogate_acc_vs_oracle,surrogate_balanced_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target,oracle_acc_vs_gt
0,2000,-1000,0.58,0.89275,0.93525,0.8928910722768069,0.9594232355808896,0.8707838479809976,0.921105527638191,0.8952380952380953,0.93525,0.922
1,4000,1000,0.6,0.9035,0.9455,0.9035800895022376,0.9663656591414784,0.8900778210116731,0.9195979899497487,0.9045971329708354,0.9455,0.922
2,6000,3000,0.55,0.906,0.953,0.9060876521913048,0.9688637215930398,0.8913676042677012,0.9236180904522613,0.9072063178677197,0.953,0.922
3,8000,5000,0.61,0.91175,0.96125,0.9118315457886448,0.9712425310632766,0.8979095770539621,0.9281407035175879,0.9127748949839387,0.96125,0.922
4,10000,7000,0.64,0.914,0.9625,0.9140503512587814,0.9722685567139179,0.90501968503937,0.9241206030150754,0.9144704127299851,0.9625,0.922
5,12000,9000,0.54,0.9125,0.967,0.912630315757894,0.9731295782394558,0.8912213740458015,0.9386934673366835,0.9143416544297601,0.967,0.922
