round,labels_used,queries_used,optimal_threshold,surrogate_acc,surrogate_acc_vs_oracle,surrogate_balanced_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target,oracle_acc_vs_gt
0,2000,-1000,0.9,0.899,0.9435,0.8991049776244406,0.9508440211005276,0.8819845857418112,0.9201005025125628,0.9006394490900148,0.9435,0.922
1,4000,1000,0.6799999999999999,0.9135,0.973,0.9135378384459611,0.9592138553463838,0.9065281899109793,0.921105527638191,0.9137587238285144,0.973,0.922
2,6000,3000,0.1,0.91375,0.97775,0.9138640966024151,0.9581859546488664,0.8948631781084974,0.9366834170854271,0.9152958507242819,0.97775,0.922
3,8000,5000,0.1,0.92025,0.98525,0.9203867596689916,0.9569810495262381,0.8976677772489291,0.9477386934673366,0.9220239550232217,0.98525,0.922
4,10000,7000,0.41000000000000003,0.9205,0.988,0.9206055151378785,0.9552315057876448,0.9026974951830443,0.9417085427135679,0.9217904574520414,0.988,0.922
5,12000,9000,0.25,0.92275,0.99125,0.9228943223580589,0.9591274781869547,0.8989084005695301,0.9517587939698492,0.9245789602147914,0.99125,0.922
