round,labels_used,surrogate_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target
0,2000,0.88925,0.9314831262347342,0.9277578913114221,0.9280598958333334,0.9279088689991863,0.88925
1,4000,0.89475,0.9387866491558908,0.9370260468183317,0.9251302083333334,0.9310401310401311,0.89475
2,6000,0.91475,0.9541580375583694,0.9279222814164838,0.9638671875,0.9455532492415775,0.91475
3,8000,0.9245,0.9631496736373025,0.9514341590612777,0.9501953125,0.950814332247557,0.9245
4,10000,0.922,0.9532021708872127,0.941741357234315,0.9576822916666666,0.9496449322143318,0.922
5,12000,0.9225,0.9598460581110811,0.9437660668380463,0.9560546875,0.9498706338939198,0.9225
