round,labels_used,queries_used,optimal_threshold,surrogate_acc,surrogate_acc_vs_oracle,surrogate_balanced_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target,oracle_acc_vs_gt
0,2000,-1000,0.1,0.688,0.9285,0.6875796894922372,0.7723803095077377,0.7234939759036144,0.6035175879396985,0.658082191780822,0.9285,0.713
1,3250,250,0.1,0.693,0.9455,0.692764819120478,0.7636913422835571,0.7107300884955752,0.6457286432160804,0.6766719325961033,0.9455,0.713
2,4500,1500,0.11,0.71075,0.96825,0.7104690117252932,0.7915022875571889,0.7351778656126482,0.6542713567839196,0.6923690507843658,0.96825,0.713
3,5750,2750,0.1,0.702,0.964,0.701737543438586,0.7685407135178379,0.723404255319149,0.6492462311557788,0.684322033898305,0.964,0.713
4,7000,4000,0.48,0.70175,0.97025,0.7013637840946023,0.7844978624465611,0.7362181387077653,0.6241206030150753,0.6755507206962198,0.97025,0.713
