round,labels_used,queries_used,optimal_threshold,surrogate_acc,surrogate_acc_vs_oracle,surrogate_balanced_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target,oracle_acc_vs_gt
0,2000,-1000,0.1,0.6685,0.99725,0.6999940079494538,0.8407502047283936,0.5387278234530506,0.8272425249169435,0.6525157232704403,0.99725,0.62375
1,4000,1000,0.66,0.66975,0.9975,0.7009960119574697,0.8318139268570364,0.5398959236773634,0.8272425249169435,0.6533718184203621,0.9975,0.62375
2,6000,3000,0.54,0.6695,0.99825,0.7009274362678846,0.8240318510775704,0.5396275443915115,0.827906976744186,0.6533822758259046,0.99825,0.62375
3,8000,5000,0.29000000000000004,0.67,0.99825,0.7014600629831091,0.8253210740417714,0.5400606323083585,0.8285714285714286,0.653906659674882,0.99825,0.62375
4,10000,7000,0.82,0.66975,0.9985,0.7011278370694878,0.824949034281187,0.5398613518197574,0.827906976744186,0.6535536323105167,0.9985,0.62375
5,12000,9000,0.84,0.66975,0.9985,0.7011278370694878,0.832906211093283,0.5398613518197574,0.827906976744186,0.6535536323105167,0.9985,0.62375
