round,labels_used,queries_used,optimal_threshold,surrogate_acc,surrogate_acc_vs_oracle,surrogate_balanced_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target,oracle_acc_vs_gt
0,2000,-1000,0.1,0.385,0.926,0.38391959798994973,0.34213392834820877,0.29349736379613356,0.1678391959798995,0.21355498721227623,0.926,0.396
1,4000,1000,0.1,0.395,0.9715,0.3939898497462436,0.34953598839971,0.31993299832495814,0.19195979899497487,0.2399497487437186,0.9715,0.396
2,6000,3000,0.1,0.39375,0.97825,0.39273356833920847,0.3545339883497088,0.3170731707317073,0.18944723618090453,0.23718150361748977,0.97825,0.396
3,8000,5000,0.11,0.39375,0.98775,0.3926910672766819,0.3115214130353259,0.3116883116883117,0.18090452261306533,0.2289348171701113,0.98775,0.396
4,10000,7000,0.45999999999999996,0.39625,0.99625,0.3951636290907273,0.4483658341458537,0.3124448367166814,0.17788944723618091,0.22670509125840538,0.99625,0.396
5,12000,9000,0.12000000000000001,0.3935,0.9885,0.3924648116202905,0.38392484812120303,0.3143100511073254,0.18542713567839195,0.23324905183312264,0.9885,0.396
