round,labels_used,queries_used,optimal_threshold,surrogate_acc,surrogate_acc_vs_oracle,surrogate_balanced_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target,oracle_acc_vs_gt
0,2000,-1000,0.9,0.904,0.97875,0.9159275361353937,0.9509381553805286,0.8147108366086468,0.9641196013289036,0.8831405964698722,0.97875,0.90125
1,3250,250,0.86,0.905,0.98475,0.9183110406860232,0.9600023968202184,0.8123264852859522,0.9720930232558139,0.8850574712643678,0.98475,0.90125
2,4500,1500,0.78,0.90325,0.9885,0.917303710410855,0.9596924080719578,0.8081587651598677,0.9740863787375416,0.8833986140403736,0.9885,0.90125
3,5750,2750,0.84,0.9035,0.98825,0.9176359363244762,0.9580878700923443,0.8082644628099174,0.9747508305647841,0.8837349397590362,0.98825,0.90125
4,7000,4000,0.8,0.90325,0.9885,0.9175673606348911,0.956674545103496,0.8074807480748075,0.9754152823920266,0.8835389708095095,0.9885,0.90125
