round,labels_used,queries_used,optimal_threshold,surrogate_acc,surrogate_acc_vs_oracle,surrogate_balanced_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target,oracle_acc_vs_gt
0,2000,-1000,0.87,0.90025,0.9975,0.9159535016877609,0.944998568565703,0.8002171552660152,0.9794019933554817,0.8807887660591575,0.9975,0.90125
1,4000,1000,0.1,0.8995,0.99825,0.9154841243949694,0.9445696709032685,0.7985923118570655,0.9800664451827242,0.880071599045346,0.99825,0.90125
2,6000,3000,0.9,0.902,0.99675,0.9169608319629292,0.9506599910785025,0.8042646254784035,0.9774086378737542,0.8824235152969406,0.99675,0.90125
3,8000,5000,0.9,0.90225,0.9945,0.9165021072044421,0.9561124907622555,0.8063806380638063,0.9740863787375416,0.8823352392416491,0.9945,0.90125
4,10000,7000,0.89,0.90275,0.994,0.9169029088076486,0.9491430701935432,0.8072687224669604,0.9740863787375416,0.8828666064438422,0.994,0.90125
5,12000,9000,0.78,0.90125,0.999,0.9166232797821556,0.9544019600663121,0.8022875816993464,0.9787375415282392,0.881771924573481,0.999,0.90125
