round,labels_used,queries_used,optimal_threshold,surrogate_acc,surrogate_acc_vs_oracle,surrogate_balanced_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target,oracle_acc_vs_gt
0,2000,-1000,0.1,0.46575,0.9415,0.4638378459461487,0.30139065976649415,0.34394904458598724,0.0814070351758794,0.13165379926859,0.9415,0.48875
1,3375,375,0.1,0.4835,0.96575,0.48159953998849975,0.3302615065376634,0.42083333333333334,0.10150753768844221,0.16356275303643725,0.96575,0.48875
2,4750,1750,0.12000000000000001,0.4935,0.97625,0.4915672891822296,0.3616626665666641,0.460352422907489,0.1050251256281407,0.17103109656301146,0.97625,0.48875
3,6125,3125,0.1,0.488,0.98025,0.48608715217880444,0.3363021575539389,0.43829787234042555,0.1035175879396985,0.16747967479674797,0.98025,0.48875
4,7000,4000,0.1,0.4865,0.98175,0.4845446136153404,0.34170004250106256,0.42660550458715596,0.09346733668341708,0.15333882934872217,0.98175,0.48875
