round,labels_used,surrogate_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target
0,2000,0.987,0.7803971786705477,0.9891221856817607,0.9977034957897423,0.9933943089430894,0.987
1,4000,0.989,0.871521772687036,0.989638615112459,0.9992344985965808,0.994413407821229,0.989
2,6000,0.98225,0.9319003021052862,0.9918200408997955,0.9900484817555499,0.9909334695441195,0.98225
3,8000,0.976,0.8694316073324324,0.9897514732257238,0.9857106404695075,0.9877269240603426,0.976
4,10000,0.9905,0.9687467513443528,0.9908929926637996,0.9994896657310538,0.9951727642276422,0.9905
5,12000,0.9855,0.9600931202530251,0.9923488905891354,0.9928553202347538,0.9926020408163265,0.9855
