round,labels_used,surrogate_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target
0,2000,0.9875,0.7936123160670239,0.9883867710174199,0.9989793314621077,0.9936548223350253,0.9875
1,4000,0.975,0.8912798994452478,0.9927741935483871,0.9816279663179382,0.9871696176546061,0.975
2,6000,0.9885,0.9316152079612147,0.9916222391469917,0.99668282725185,0.9941460931534741,0.9885
3,8000,0.9895,0.9188284993337303,0.9906352822070362,0.9987241643276346,0.9946632782719187,0.9895
4,10000,0.9895,0.9639332281162679,0.9908837680425424,0.9984689971931615,0.994661921708185,0.9895
5,12000,0.99075,0.9704163634588063,0.9936419125127162,0.996937994386323,0.9952872245573813,0.99075
