round,labels_used,queries_used,optimal_threshold,surrogate_acc,surrogate_acc_vs_oracle,surrogate_balanced_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target,oracle_acc_vs_gt
0,2000,-1000,0.85,0.49825,0.99925,0.5007462686567165,0.4974965624140604,0.49787340505379035,1.0,0.664773676298647,0.99925,0.4975
1,4000,1000,0.1,0.4975,1.0,0.5,0.49548751218780474,0.4975,1.0,0.664440734557596,1.0,0.4975
2,6000,3000,0.1,0.4975,1.0,0.5,0.516124903122578,0.4975,1.0,0.664440734557596,1.0,0.4975
3,8000,5000,0.1,0.4975,1.0,0.5,0.4769505487637191,0.4975,1.0,0.664440734557596,1.0,0.4975
4,10000,7000,0.1,0.4975,1.0,0.5,0.4284475861896548,0.4975,1.0,0.664440734557596,1.0,0.4975
5,12000,9000,0.1,0.4975,1.0,0.5,0.4202632565814145,0.4975,1.0,0.664440734557596,1.0,0.4975
