round,labels_used,queries_used,optimal_threshold,surrogate_acc,surrogate_acc_vs_oracle,surrogate_balanced_acc,surrogate_auc,surrogate_precision,surrogate_recall,surrogate_f1,agreement_with_target,oracle_acc_vs_gt
0,2000,-1000,0.1,0.3155,0.85375,0.3151178779469487,0.27885047126178153,0.2797408716136631,0.23869346733668342,0.2575921908893709,0.85375,0.39425
1,3250,250,0.1,0.37375,0.9475,0.37290307257681443,0.29428648216205405,0.30566037735849055,0.20351758793969849,0.24434389140271492,0.9475,0.39425
2,4500,1500,0.1,0.38775,0.9635,0.3869309232730818,0.306996924923123,0.32962138084632514,0.22311557788944725,0.2661072819898112,0.9635,0.39425
3,5750,2750,0.15000000000000002,0.38625,0.981,0.38537588439710996,0.31431223280582016,0.3215656178050652,0.2105527638190955,0.254479198299423,0.981,0.39425
4,7000,4000,0.1,0.38675,0.9825,0.38587589689742247,0.37102652566314154,0.32233307751343054,0.21105527638190955,0.2550865472213787,0.9825,0.39425
